Elevasi Muka Air Sump (m),Volume Sump (m³)
-25.0,31300.69
-24.9,32333.79
-24.8,33385.67
-24.7,34449.4
-24.6,35538.27
-24.5,36632.23
-24.4,37731.17
-24.3,38844.22
-24.2,39959.86
-24.1,41088.76
-24.0,42231.96
-23.9,43503.42
-23.7,46139.79
-23.6,47495.18
-23.5,48898.19
-23.4,50336.17
-23.3,51795.99
-23.2,53277.23
-23.1,54797.46
-23.0,56348.17
-22.9,58083.25
-22.8,59845.25
-22.7,61644.24
-22.6,63465.82
-22.5,65334.98
-22.4,67237.5
-22.3,69184.94
-22.2,71156.7
-22.0,75225.39
-21.9,77336.28
-21.8,79488.41
-21.7,81666.46
-21.6,83885.99
-21.4,88505.7
-21.2,93305.86
-20.7,106088.6
-20.6,108738.58
-20.4,114188.15
-20.3,116991.01
-20.2,119849.02
-20.0,125702.05
-19.9,129206.08
-19.8,132789.18
-19.7,136424.04
-19.6,140132.91
-19.5,143886.24
-19.4,147719.71
-19.3,151634.44
-19.2,155669.87
-19.0,163989.47
-18.9,168292.12
-18.7,177001.38
-18.6,181444.22
-18.5,185898.43
-18.4,190412.96
-18.3,194981.5
-18.2,199602.98
-18.1,204272.76
-18.0,209032.61
-17.9,213879.64
-17.8,218796.48
-17.7,223776.84
-17.5,233943.58
-17.4,239121.24
-17.3,244347.94
-17.2,249627.68
-17.1,254977.05
-17.0,260421.48
-16.9,265994.76
-16.8,271598.28
-16.7,277254.01
-16.6,282948.84
-16.5,288661.37
-16.4,294386.76
-16.3,300152.05
-16.2,305966.27
-16.1,311820.17
-16.0,317714.32
-15.9,323696.23
-15.8,329719.69
-15.7,335774.71
-15.6,341845.32
-15.5,347945.87
-15.4,354074.28
-15.3,360234.95
-15.2,366418.49
-15.1,372635.3
-15.0,378881.54
-14.9,385166.7
-14.8,391474.94
-14.7,397826.13
-14.6,404205.02
-14.5,410608.21
-14.4,417045.97
-14.3,423508.08
-14.2,429997.48
-14.1,436513.11
